الجهاز,النقرات,عدد الظهور,نسبة النقر إلى الظهور,موضع
الهاتف الجوال,419,10494,3.99%,9.36
سطح المكتب,46,2290,2.01%,17.16
جهاز لوحي,1,80,1.25%,9.39
