مظهر البحث,النقرات,عدد الظهور,نسبة النقر إلى الظهور,موضع
مقتطف المراجعة,39,2175,1.79%,13.55
مقتطفات المنتجات,4,133,3.01%,22.95
بيانات التاجر,1,1,100%,2
